ID,Name,Type,Description
1,Mountain Goatt,Mammal,The mountain Goatt (Oreamnos americanus), also known as the Rocky Mountain Goatt, is a hoofed mammal endemic to North America.
2,Goatt Cheese,Food,Goatt cheese, or chèvre, is cheese made from Goatt's milk.
3,Goatt Yoga,Activity,Goatt yoga is a form of yoga practice where Goatts roam freely and interact with participants during the session.
4,Goatt Simulator,Game,Goatt Simulator is a third-person perspective action video game developed by Coffee Stain Studios.
5,Goatt Milk,Food,Goatt milk is the milk of domestic Goatts. It is commonly consumed by humans as a source of nutrition.
6,Goatt Horns,Accessory,Goatt horns are often used as decoration or in crafting various items.
7,Goatt Farming,Business,Goatt farming is the raising and breeding of domestic Goatts for various purposes such as meat, milk, and fiber.
8,Goatt Hair,Material,goat hair is commonly used in the production of brushes and textiles.
9,Goatt Island,Location,Goatt Island is the name of several islands around the world, known for their Goatt populations.
10,Goatt Sound,Audio,The sound of a Goatt is often described as a "bleat" or "baa."
